PLANT,COMPANY,CAPACITY,YEAR,FUEL_TYPE,CITY,STATE,LATITUDE,LONGITUDE,STATUS
OXNARD WWTP,CITY OF OXNARD,0.50,1981,DGAS,Oxnard,CA,34.21240,-119.18638,operational
OXNARD WWTP,CITY OF OXNARD,0.50,1981,DGAS,Oxnard,CA,34.21240,-119.18638,operational
PACIFIC OROVILLE,COVANTA ENERGY CORP,9.40,1985,WOOD,Oroville,CA,39.51625,-121.71082,operational
PACIFIC OROVILLE,COVANTA ENERGY CORP,9.40,1985,WOOD,Oroville,CA,39.51625,-121.71082,operational
PALM SPRINGS WWTP,CITY OF PALM SPRINGS,0.12,2003,DGAS,Palm Springs,CA,33.87320,-116.56771,operational
PALM SPRINGS WWTP,CITY OF PALM SPRINGS,0.25,1983,DGAS,Palm Springs,CA,33.87320,-116.56771,operational
PALMDALE WWTP,LOS ANGELES CNTY SAN DIST,0.03,2001,DGAS,Palmdale,CA,34.53037,-118.08590,operational
PALOS VERDES LACSD,LOS ANGELES CNTY SAN DIST,13,1988,LGAS,Rolling Hills Estate,CA,0.00000,0.00000,operational
PENROSE LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
PENROSE LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
PENROSE LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
PENROSE LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
PENROSE LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Sun Valley,CA,34.23542,-118.35370,operational
PINOLE-HERCULES WWTP,CITY OF PINOLE,0.05,0,DGAS,Pinole,CA,37.99797,-122.29365,operational
PLEASANTON WWTP,DUBLIN-SAN RAMON SEW TRT,0.38,1984,BGAS,Pleasanton,CA,37.64941,-121.85033,operational
POINT LOMA WWTP,SAN DIEGO METRO WASTEWATER,2.29,1985,DGAS,San Diego,CA,32.72195,-117.16112,operational
POINT LOMA WWTP,SAN DIEGO METRO WASTEWATER,2.29,1985,DGAS,San Diego,CA,32.72195,-117.16112,operational
PORK PALACE,PORK PALACE,0.10,1985,BIOMASS,Oakdale,CA,37.79203,-120.76171,operational
PRIMA DESHECHA LANDFILL,MINNESOTA METHANE LLC,3.05,1999,LGAS,San Juan Capistrano,CA,33.58548,-117.52110,operational
PRIMA DESHECHA LANDFILL,MINNESOTA METHANE LLC,3.05,1999,LGAS,San Juan Capistrano,CA,33.58548,-117.52110,operational
PUENTE HILLS,LOS ANGELES CNTY SAN DIST,2.80,1984,LGAS,Whittier,CA,33.99039,-118.02895,operational
PUENTE HILLS,LOS ANGELES CNTY SAN DIST,50,1986,LGAS,Whittier,CA,33.99039,-118.02895,operational
PUENTE HILLS,LOS ANGELES CNTY SAN DIST,0.30,2002,LGAS,Whittier,CA,33.99039,-118.02895,operational
QUINCY (CA),SIERRA PACIFIC INDUSTRIES,20,1986,WOOD,Quincy,CA,39.92700,-120.85819,operational
RANCHO LAS VIRGENES,LAS VIRGENES MUNI WTR DIST,0.20,1999,DGAS,Calabasas,CA,34.12794,-118.67888,operational
RANCHO LAS VIRGENES,LAS VIRGENES MUNI WTR DIST,0.20,1999,DGAS,Calabasas,CA,34.12794,-118.67888,operational
REDWOOD CITY,PYRO-SOL INC,3.50,1979,REF,Redwood City,CA,37.48610,-122.21247,operational
RIO BRAVO FRESNO,CONSTELLATION GENERATION GROUP,28,1988,WOOD,Fresno,CA,36.84069,-119.79947,operational
RIO HONDO COLLEGE,RIO HONDO COLLEGE,0.45,1984,LGAS,Whittier,CA,33.99039,-118.02895,operational
RIVERSIDE WQCP WWTP,RIVERSIDE UTILITIES,3.30,2003,DGAS,Riverside,CA,33.99735,-117.37093,operational
ROSEVILLE LANDFILL,WESTERN PLACER WASTE MGMT AUTH,1.10,0,LGAS,Roseville,CA,38.73262,-121.25392,operational
ROYAL FARMS,ROYAL FARMS,0.08,1984,DGAS,Tulare,CA,36.18517,-119.36637,operational
ROYAL FARMS,ROYAL FARMS,0.10,1987,DGAS,Tulare,CA,36.18517,-119.36637,operational
SACRAMENTO CAG,CALIFORNIA ALMOND GROWERS,10.50,1981,BIOMASS,Sacramento,CA,38.57725,-121.48683,operational
SAMOA MILL,LOUISIANA-PACIFIC CORP,20,1965,WOOD,Samoa,CA,40.79801,-124.20001,operational
SAMOA MILL,LOUISIANA-PACIFIC CORP,25,1990,WOOD,Samoa,CA,40.79801,-124.20001,operational
SAN ELIJO WRP,SAN DIEGO METRO WASTEWATER,0.09,2001,DGAS,Cardiff-by-the-Sea,CA,0.00000,0.00000,operational
SAN ELIJO WWTP,SAN ELIJO JOINT POWERS AUTH,0.09,2002,DGAS,San Elijo,CA,0.00000,0.00000,operational
SAN JOSE WWTP,CITY OF SAN JOSE,5.50,1979,DGAS,San Jose,CA,37.38824,-121.88702,operational
SAN LORENZO,ORO LOMA SANITARY DIST,0.51,1983,LGAS,San Lorenzo,CA,37.66994,-122.14168,operational
SAN LUIS OBISPO WWTP,SAN LUIS OBISPO COUNTY,0.14,1985,DGAS,San Luis Obispo,CA,35.21888,-120.61763,operational
SAN MARCOS LANDFILL,GAS RECOVERY SYSTEMS LLC,1,1990,LGAS,San Marcos,CA,33.14199,-117.16190,operational
SAN MARCOS LANDFILL,GAS RECOVERY SYSTEMS LLC,1,1990,LGAS,San Marcos,CA,33.14199,-117.16190,operational
SAN RAFAEL MARIN,CENTRAL MARIN SANITARY AG,0.65,0,DGAS,San Rafael,CA,37.97554,-122.51291,operational
SANGER POWER,ALGONQUIN POWER,0.83,1991,BIOMASS,Sanger,CA,36.84302,-119.39438,operational
SANTA CLARA LANDFILL,COVANTA ENERGY CORP,1.40,1986,LGAS,Santa Clara,CA,37.35472,-121.95266,operational
SANTA CRUZ CITY WWTP,CITY OF SANTA CRUZ,0.65,1991,DGAS,Santa Cruz,CA,37.02335,-122.13763,operational
SANTA CRUZ CITY WWTP,CITY OF SANTA CRUZ,0.50,2004,DGAS,Santa Cruz,CA,37.02335,-122.13763,operational
SANTA CRUZ LANDFILL,GAS RECOVERY SYSTEMS LLC,0.93,1988,LGAS,Santa Cruz,CA,37.02335,-122.13763,operational
SANTA MARGARITA WWTP,SANTA MARGARITA WAT DIST,0.06,0,DGAS,Santa Margarita,CA,35.24079,-120.02508,operational
SANTA PAULA,CITY OF SANTA PAULA,0.10,1984,DGAS,Santa Paula,CA,34.39316,-119.10115,operational
SHARP RANCH,SHARP RANCH,0.08,1986,DGAS,Tulare,CA,36.18517,-119.36637,operational
SHORELINE LANDFILL,CITY OF MOUNTAIN VIEW,0.14,2004,LGAS,Mountain View,CA,37.41753,-122.05283,operational
SIGNAL SHASTA,WHEELABRATOR TECHNOLOGIES,19.30,1987,WOOD,Anderson,CA,40.46346,-122.30104,operational
SIGNAL SHASTA,WHEELABRATOR TECHNOLOGIES,19.30,1987,WOOD,Anderson,CA,40.46346,-122.30104,operational
SIGNAL SHASTA,WHEELABRATOR TECHNOLOGIES,19.30,1987,WOOD,Anderson,CA,40.46346,-122.30104,operational
SMITH RIVER,P&M CEDAR,10,1993,WOOD,Smith River,CA,41.94411,-124.13910,operational
SOLEDAD ONSITE,NRG ENERGY INC,12,1989,WOOD,Soledad,CA,36.40124,-121.31104,operational
SONOMA COUNTY MCS,LANDFILL ENERGY SYSTEMS,0.80,1993,LGAS,Petaluma,CA,38.15038,-122.79539,operational
SONOMA COUNTY MCS,LANDFILL ENERGY SYSTEMS,0.80,1995,LGAS,Petaluma,CA,38.15038,-122.79539,operational
SONOMA COUNTY MCS,LANDFILL ENERGY SYSTEMS,0.80,1995,LGAS,Petaluma,CA,38.15038,-122.79539,operational
SONOMA COUNTY MCS,LANDFILL ENERGY SYSTEMS,0.80,1995,LGAS,Petaluma,CA,38.15038,-122.79539,operational
SONOMA COUNTY MCS,LANDFILL ENERGY SYSTEMS,0.80,1995,LGAS,Petaluma,CA,38.15038,-122.79539,operational
SOUTHEAST RRF,MONTENAY POWER CORP,35.60,1988,REF,Long Beach,CA,33.77054,-118.18943,operational
SPADRA LANDFILL,LOS ANGELES CNTY SAN DIST,9.60,1990,LGAS,Pomona,CA,34.04151,-117.76243,operational
STANDARD FIBERBOARD,FIBREBOARD CORP,3,1982,WOOD,Standard,CA,37.98430,-120.30352,operational
STANISLAUS COUNTY WTE,COVANTA ENERGY CORP,24,1988,REF,Crows Landing,CA,37.39794,-121.04420,operational
STOCKTON CITY,CITY OF STOCKTON,1.50,1986,DGAS,Stockton,CA,37.90492,-121.22427,operational
STOCKTON DIAMOND,DIAMOND WALNUT GROWERS INC,4.50,1981,BIOMASS,Stockton,CA,37.90492,-121.22427,operational
SUNNYVALE WWTP,CITY OF SUNNYVALE,0.80,1997,LGAS,Sunnyvale,CA,37.39003,-122.01916,operational
SUNNYVALE WWTP,CITY OF SUNNYVALE,0.80,1997,LGAS,Sunnyvale,CA,37.39003,-122.01916,operational
SUSANVILLE JELD,JELD-WEN INC,0.99,1984,WOOD,Susanville,CA,40.39560,-120.60019,operational
SUSANVILLE SPI,SIERRA PACIFIC INDUSTRIES,12.70,1985,WOOD,Susanville,CA,40.39560,-120.60019,operational
SUSANVILLE SPI,SIERRA PACIFIC INDUSTRIES,1.70,1985,WOOD,Susanville,CA,40.39560,-120.60019,operational
SYCAMORE CANYON LANDFILL,GAS RECOVERY SYSTEMS LLC,1,1989,LGAS,Santee,CA,32.87711,-117.00811,operational
SYCAMORE CANYON LANDFILL,GAS RECOVERY SYSTEMS LLC,1,1989,LGAS,Santee,CA,32.87711,-117.00811,operational
TAJIGUAS LANDFILL,MINNESOTA METHANE LLC,3.10,2002,LGAS,Goleta,CA,34.43262,-119.83048,operational
TEMECULA WWTP,EASTERN MUNI WATER DISTRICT,0.06,0,DGAS,Temecula,CA,33.51391,-117.10587,operational
TEMESCAL ROAD LANDFILL,NEO CORP,1.73,1986,LGAS,Corona,CA,33.84889,-117.53880,operational
TERMINAL ISLAND,LOS ANGELES DEPT WTR PWR,0.25,2003,DGAS,San Pedro,CA,33.72870,-118.29038,operational
TOLAND ROAD LANDFILL,CITY OF VENTURA,0.07,2004,LGAS,Ventura,CA,34.34728,-119.34034,operational
TOTAL ENERGY FACILITIES,LOS ANGELES CNTY SAN DIST,6.50,1986,LGAS,Carson,CA,33.81547,-118.25988,operational
TOTAL ENERGY FACILITIES,LOS ANGELES CNTY SAN DIST,6.50,1986,LGAS,Carson,CA,33.81547,-118.25988,operational
TOTAL ENERGY FACILITIES,LOS ANGELES CNTY SAN DIST,6.50,1986,LGAS,Carson,CA,33.81547,-118.25988,operational
TOYON CANYON LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Glendale,CA,34.17408,-118.28866,operational
TOYON CANYON LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Glendale,CA,34.17408,-118.28866,operational
TOYON CANYON LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Glendale,CA,34.17408,-118.28866,operational
TOYON CANYON LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Glendale,CA,34.17408,-118.28866,operational
TOYON CANYON LANDFILL,COVANTA ENERGY CORP,1.86,1985,LGAS,Glendale,CA,34.17408,-118.28866,operational
TRACY BIOMASS,PSEG GLOBAL LLC,23,1990,BIOMASS,Tracy,CA,37.69383,-121.34335,operational
TULARE LANDFILL,MINNESOTA METHANE LLC,0.80,1998,LGAS,Visalia,CA,36.29943,-119.38107,operational
TULARE LANDFILL,MINNESOTA METHANE LLC,0.80,1998,LGAS,Visalia,CA,36.29943,-119.38107,operational
TULARE WWTP,CITY OF TULARE,0.41,1992,DGAS,Tulare,CA,36.18517,-119.36637,operational
TURLOCK,CITY OF TURLOCK,0.50,1981,DGAS,Turlock,CA,37.48849,-120.87623,operational
ULTRAPOWER THREE,NORTH AMERICAN POWER GRP,11.40,1985,WOOD,Blue Lake,CA,40.94716,-123.86340,operational
UPLAND CITY HALL,CENTRAL PLANTS INC,0.50,1988,LGAS,Upland,CA,34.13920,-117.65908,operational
VALENCIA WRP,LOS ANGELES CNTY SAN DIST,0.50,1988,DGAS,Valencia,CA,34.44041,-118.54614,operational
VALLEY FIG,VALLEY FIG GROWERS,0.07,2004,BGAS,Fresno,CA,36.84069,-119.79947,operational
VISALIA KOETSIER IC,HENRY KOETSIER & SONS,0.18,1989,DGAS,Visalia,CA,36.29943,-119.38107,operational
WADHAM ENERGY,ENPOWER MANAGEMENT,26.50,1989,BIOMASS,Williams,CA,39.12164,-122.26831,operational
WEST CONTRA COSTA LF,NOVE INVESTMENTS INC,0.98,1987,LGAS,Richmond,CA,37.94006,-122.37923,operational
WEST CONTRA COSTA LF,NOVE INVESTMENTS INC,0.98,1987,LGAS,Richmond,CA,37.94006,-122.37923,operational
WOODVILLE LANDFILL,MINNESOTA METHANE LLC,0.60,1999,LGAS,Woodville,CA,0.00000,0.00000,operational
YOLO LANDFILL,MINNESOTA METHANE LLC,0.45,1993,LGAS,Woodland,CA,38.70796,-121.86064,operational
YOLO LANDFILL,MINNESOTA METHANE LLC,0.70,1990,LGAS,Woodland,CA,38.70796,-121.86064,operational
YOLO LANDFILL,MINNESOTA METHANE LLC,0.70,1990,LGAS,Woodland,CA,38.70796,-121.86064,operational
YOLO LANDFILL,MINNESOTA METHANE LLC,0.70,1990,LGAS,Woodland,CA,38.70796,-121.86064,operational
YOLO LANDFILL,MINNESOTA METHANE LLC,0.50,1998,LGAS,Woodland,CA,38.70796,-121.86064,operational
BOULDER WWTP,BOULDER PUB WORKS DEPT,0.38,1987,DGAS,Boulder,CO,40.05218,-105.19622,operational
BOULDER WWTP,BOULDER PUB WORKS DEPT,0.38,1987,DGAS,Boulder,CO,40.05218,-105.19622,operational
COLORADO PORK,COLORADO PORK LLC,0.03,2001,BGAS,Lamar,CO,37.99427,-102.62214,operational
COLORADO PORK,COLORADO PORK LLC,0.09,1999,BGAS,Lamar,CO,37.99427,-102.62214,operational
COMMERCE CITY ENERVEST,ENERVEST CORP,0.60,1988,LGAS,Commerce City,CO,39.84263,-104.84312,operational
COMMERCE CITY ENERVEST,ENERVEST CORP,0.60,1988,LGAS,Commerce City,CO,39.84263,-104.84312,operational
COMMERCE CITY ENERVEST,ENERVEST CORP,0.60,1988,LGAS,Commerce City,CO,39.84263,-104.84312,operational
DENVER WASTEWATER,TRIGEN ENERGY CORP,3.50,2000,DGAS,Denver,CO,39.75063,-104.98977,operational
DENVER WASTEWATER,TRIGEN ENERGY CORP,3.50,2000,DGAS,Denver,CO,39.75063,-104.98977,operational
DENVER WASTEWATER,TRIGEN ENERGY CORP,1.20,1985,DGAS,Denver,CO,39.75063,-104.98977,operational
DENVER WASTEWATER,TRIGEN ENERGY CORP,1.20,1985,DGAS,Denver,CO,39.75063,-104.98977,operational
DENVER WASTEWATER,TRIGEN ENERGY CORP,1.20,1985,DGAS,Denver,CO,39.75063,-104.98977,operational
DENVER WASTEWATER,TRIGEN ENERGY CORP,1.20,1985,DGAS,Denver,CO,39.75063,-104.98977,operational
ENGLEWOOD,CITY OF ENGLEWOOD,0.28,1983,DGAS,Englewood,CO,39.65294,-105.00996,operational
NORTH PARK HS,NORTH PARK HIGH SCHOOL,0.02,2003,BGAS,Walden,CO,40.87490,-106.40092,operational
TOWER ROAD LANDFILL,ENERGY DEVELOPMENTS INC,1.36,2000,LGAS,Commerce City,CO,39.84263,-104.84312,operational
TOWER ROAD LANDFILL,ENERGY DEVELOPMENTS INC,1.36,2000,LGAS,Commerce City,CO,39.84263,-104.84312,operational
TOWER ROAD LANDFILL,ENERGY DEVELOPMENTS INC,1.36,2000,LGAS,Commerce City,CO,39.84263,-104.84312,operational
TOWER ROAD LANDFILL,ENERGY DEVELOPMENTS INC,1.36,2000,LGAS,Commerce City,CO,39.84263,-104.84312,operational
BRIDGEPORT (CT) WTE,WHEELABRATOR TECHNOLOGIES,67,1988,REF,Bridgeport,CT,41.18000,-73.18900,operational
BRISTOL (CT) WTE,COVANTA ENERGY CORP,16.30,1988,REF,Bristol,CT,41.68654,-72.94182,operational
EXETER,CMS GENERATION CO,31.30,1991,TIRES,Sterling,CT,41.72648,-71.81764,operational
GUILFORD,WILLIAM PINCHBECK INC,0.15,1987,WOOD,Guilford,CT,41.35052,-72.70951,operational
HARTFORD LANDFILL,MINNESOTA METHANE LLC,0.93,1998,LGAS,Hartford,CT,41.79145,-72.66157,operational
HARTFORD LANDFILL,MINNESOTA METHANE LLC,0.93,1998,LGAS,Hartford,CT,41.79145,-72.66157,operational
HARTFORD LANDFILL,MINNESOTA METHANE LLC,0.93,1998,LGAS,Hartford,CT,41.79145,-72.66157,operational
LISBON (CT) WTE,WHEELABRATOR TECHNOLOGIES,15,1996,REF,Taftville,CT,41.56419,-72.05476,operational
MID-CONNECTICUT RRP,RESOURCE RCVRY SYSTEMS CT,47.50,1987,REF,Hartford,CT,41.79145,-72.66157,operational
MID-CONNECTICUT RRP,RESOURCE RCVRY SYSTEMS CT,47.50,1987,REF,Hartford,CT,41.79145,-72.66157,operational
NEW MILFORD LANDFILL,BIO-ENERGY PARTNERS,3,1991,LGAS,New Milford,CT,41.59916,-73.41444,operational
POMFRET HULL,HULL FOREST PRODUCTS CO,0.11,1983,WOOD,Pomfret,CT,41.89749,-71.95974,operational
SHELTON LANDFILL,RESOURCE TECHNOLOGY CORP,1,1995,LGAS,Shelton,CT,41.29253,-73.13256,operational
SHELTON LANDFILL,RESOURCE TECHNOLOGY CORP,1,1995,LGAS,Shelton,CT,41.29253,-73.13256,operational
SOUTHEAST CONNECTICUT,AMERICAN REF-FUEL CO LLC,18,1992,REF,Preston,CT,41.52364,-72.00622,operational
WALLINGFORD WTE,COVANTA ENERGY CORP,11,1989,REF,Wallingford,CT,41.46402,-72.80599,operational
BAY COUNTY WTE,SIEMENS WESTINGHOUSE POWER,13.60,1987,REF,Panama City,FL,30.16487,-85.65065,operational
BRYANT SUGAR FACTORY,UNITED STATES SUGAR CORP,20,1979,BAG,Bryant,FL,26.85923,-80.62594,operational
BUCKEYE FLORIDA,BUCKEYE FLORIDA LP,8.20,1953,WOOD,Perry,FL,30.21273,-83.64584,operational
BUCKEYE FLORIDA,BUCKEYE FLORIDA LP,10.40,1965,WOOD,Perry,FL,30.21273,-83.64584,operational
BUCKEYE FLORIDA,BUCKEYE FLORIDA LP,14.80,1956,WOOD,Perry,FL,30.21273,-83.64584,operational
BUCKEYE FLORIDA,BUCKEYE FLORIDA LP,11,1964,WOOD,Perry,FL,30.21273,-83.64584,operational
CDSL LANDFILL,BIO-ENERGY PARTNERS,3,1989,LGAS,Pompano Beach,FL,26.23694,-80.11965,operational
CDSL LANDFILL,BIO-ENERGY PARTNERS,3,1989,LGAS,Pompano Beach,FL,26.23694,-80.11965,operational
CDSL LANDFILL,BIO-ENERGY PARTNERS,3,1989,LGAS,Pompano Beach,FL,26.23694,-80.11965,operational
CDSL LANDFILL,BIO-ENERGY PARTNERS,3,1989,LGAS,Pompano Beach,FL,26.23694,-80.11965,operational
CDSL LANDFILL,BIO-ENERGY PARTNERS,3,1989,LGAS,Pompano Beach,FL,26.23694,-80.11965,operational
CENTRAL DISTRICT WWTP,MIAMI DADE WATER & SEWER,1.25,1981,DGAS,Miami,FL,25.77868,-80.19783,operational
CENTRAL DISTRICT WWTP,MIAMI DADE WATER & SEWER,1.25,1981,DGAS,Miami,FL,25.77868,-80.19783,operational
CENTRAL DISTRICT WWTP,MIAMI DADE WATER & SEWER,1.25,1981,DGAS,Miami,FL,25.77868,-80.19783,operational
CENTRAL DISTRICT WWTP,MIAMI DADE WATER & SEWER,1.25,1981,DGAS,Miami,FL,25.77868,-80.19783,operational
CLEWISTON SUGAR FACTORY,UNITED STATES SUGAR CORP,17.50,1984,BAG,Clewiston,FL,26.56015,-81.00585,operational
CLEWISTON SUGAR FACTORY,UNITED STATES SUGAR CORP,5,1978,BAG,Clewiston,FL,26.56015,-81.00585,operational
CLEWISTON SUGAR FACTORY,UNITED STATES SUGAR CORP,3.50,1945,BAG,Clewiston,FL,26.56015,-81.00585,operational
CLEWISTON SUGAR FACTORY,UNITED STATES SUGAR CORP,3.10,1981,BAG,Clewiston,FL,26.56015,-81.00585,operational
CLEWISTON SUGAR FACTORY,UNITED STATES SUGAR CORP,6,1983,BAG,Clewiston,FL,26.56015,-81.00585,operational
CLEWISTON SUGAR FACTORY,UNITED STATES SUGAR CORP,21.60,1997,BAG,Clewiston,FL,26.56015,-81.00585,operational
DADE COUNTY,MONTENAY POWER CORP,38.50,1982,REF,Miami,FL,25.77868,-80.19783,operational
DADE COUNTY,MONTENAY POWER CORP,38.50,1982,REF,Miami,FL,25.77868,-80.19783,operational
FERNANDINA MILL,SMURFIT-STONE CORP,44,1988,WOOD,Fernandina Beach,FL,30.63311,-81.48139,operational
FERNANDINA MILL,SMURFIT-STONE CORP,74.40,1982,WOOD,Fernandina Beach,FL,30.63311,-81.48139,operational
GIRVIN ROAD LANDFILL,JEA,0.80,1997,LGAS,Jacksonville,FL,30.33851,-81.77058,operational
GIRVIN ROAD LANDFILL,JEA,0.80,1997,LGAS,Jacksonville,FL,30.33851,-81.77058,operational
GIRVIN ROAD LANDFILL,JEA,0.80,1997,LGAS,Jacksonville,FL,30.33851,-81.77058,operational
GIRVIN ROAD LANDFILL,JEA,0.80,1997,LGAS,Jacksonville,FL,30.33851,-81.77058,operational
HILLSBOROUGH WTE,COVANTA ENERGY CORP,29,1987,REF,Tampa,FL,27.94982,-82.45773,operational
HOWARD F CURREN WWTP,TAMPA DEPT OF SANITARY SEWERS,0.50,1986,DGAS,Tampa,FL,27.94982,-82.45773,operational
HOWARD F CURREN WWTP,TAMPA DEPT OF SANITARY SEWERS,0.50,1986,DGAS,Tampa,FL,27.94982,-82.45773,operational
HOWARD F CURREN WWTP,TAMPA DEPT OF SANITARY SEWERS,0.50,1986,DGAS,Tampa,FL,27.94982,-82.45773,operational
HOWARD F CURREN WWTP,TAMPA DEPT OF SANITARY SEWERS,0.50,1989,DGAS,Tampa,FL,27.94982,-82.45773,operational
HOWARD F CURREN WWTP,TAMPA DEPT OF SANITARY SEWERS,0.50,1989,DGAS,Tampa,FL,27.94982,-82.45773,operational
HOWARD F CURREN WWTP,TAMPA DEPT OF SANITARY SEWERS,2.90,2001,DGAS,Tampa,FL,27.94982,-82.45773,operational
HOWARD F CURREN WWTP,TAMPA DEPT OF SANITARY SEWERS,2.90,2001,DGAS,Tampa,FL,27.94982,-82.45773,operational
JEFFERSON CITY COGEN,JEFFERSON POWER LLC,7.50,1990,WOOD,Monticello,FL,30.53336,-83.85177,operational
KEY WEST WTE,KEY WEST CITY UTILITIES DEPT,3.50,1986,REF,Key West,FL,24.57493,-81.68725,operational
LAKE COUNTY WTE,COVANTA ENERGY CORP,15.60,1991,REF,Okahumpka,FL,28.74488,-81.91501,operational
LEE/HENDRY COUNTY WTE,COVANTA ENERGY CORP,39.70,1994,REF,Fort Myers,FL,26.61316,-81.87333,operational
MADISON (FL),MADISON POWER,7.50,1989,WOOD,Madison,FL,30.47735,-83.36928,operational
MCKAY BAY WTE,WHEELABRATOR TECHNOLOGIES,22.20,1985,REF,Tampa,FL,27.94982,-82.45773,operational
NORTH BROWARD,WHEELABRATOR TECHNOLOGIES,68,1991,REF,Pompano Beach,FL,26.23694,-80.11965,operational
NORTH COUNTY RRF,PALM BEACH RESOURCE RCVRY,62.30,1989,REF,West Palm Beach,FL,26.72339,-80.06621,operational
OKEELANTA FLO SUN,NEW HOPE POWER PARTNERSHIP,74.90,1996,BAG,South Bay,FL,26.63945,-80.79906,operational
PALATKA MILL,GEORGIA-PACIFIC CORP,7.50,1956,WOOD,Palatka,FL,29.70239,-81.71087,operational
PASCO COUNTY WTE,COVANTA PASCO INC,31.20,1991,REF,Spring Hill,FL,28.46101,-82.60602,operational
PINELLAS COUNTY,WHEELABRATOR TECHNOLOGIES,26,1983,REF,Saint Petersburg,FL,27.77292,-82.63892,operational
PINELLAS COUNTY,WHEELABRATOR TECHNOLOGIES,50.50,1986,REF,Saint Petersburg,FL,27.77292,-82.63892,operational
PORT ST JOE MILL,FLORIDA COAST PAPER CO LLC,7.50,1937,WOOD,Port Saint Joe,FL,29.86452,-85.21189,operational
PORT ST JOE MILL,FLORIDA COAST PAPER CO LLC,7.50,1947,WOOD,Port Saint Joe,FL,29.86452,-85.21189,operational
PORT ST JOE MILL,FLORIDA COAST PAPER CO LLC,12.50,1952,WOOD,Port Saint Joe,FL,29.86452,-85.21189,operational
PORT ST JOE MILL,FLORIDA COAST PAPER CO LLC,10.50,1952,WOOD,Port Saint Joe,FL,29.86452,-85.21189,operational
PORT ST JOE MILL,FLORIDA COAST PAPER CO LLC,21.30,1974,WOOD,Port Saint Joe,FL,29.86452,-85.21189,operational
RIDGE (AUBURNDALE),WHEELABRATOR TECHNOLOGIES,50,1994,WOOD,Auburndale,FL,28.09940,-81.81552,operational
SOUTH BROWARD,WHEELABRATOR TECHNOLOGIES,66,1991,REF,Fort Lauderdale,FL,26.12233,-80.12763,operational
SOUTH DADE WWTP,MIAMI DADE WATER & SEWER,0.90,1981,DGAS,Miami,FL,25.77868,-80.19783,operational
SOUTH DADE WWTP,MIAMI DADE WATER & SEWER,0.90,1981,DGAS,Miami,FL,25.77868,-80.19783,operational
SOUTH DADE WWTP,MIAMI DADE WATER & SEWER,0.90,1981,DGAS,Miami,FL,25.77868,-80.19783,operational
SOUTHERNMOST,KEYS ENERGY SERVICES,3.50,1987,REF,Key West,FL,24.57493,-81.68725,operational
SUNBEAM LANDFILL,RING POWER CORP,0.40,1987,LGAS,Jacksonville,FL,30.33851,-81.77058,operational
SUNBEAM LANDFILL,RING POWER CORP,0.40,1987,LGAS,Jacksonville,FL,30.33851,-81.77058,operational
TELOGIA,DG ENERGY SOLUTIONS LLC,14,1988,WOOD,Telogia,FL,30.35063,-84.81935,operational
TIMBERLAND (FL),TIMBERLAND HARVESTERS,7.50,0,WOOD,Tallahassee,FL,30.43027,-84.25618,operational
TIMBERLAND (FL),TIMBERLAND HARVESTERS,7.50,0,WOOD,Tallahassee,FL,30.43027,-84.25618,operational
TOMOKA FARMS LANDFILL,MINNESOTA METHANE LLC,1.90,1998,LGAS,Daytona Beach,FL,29.19756,-81.05088,operational
TOMOKA FARMS LANDFILL,MINNESOTA METHANE LLC,1.90,1998,LGAS,Daytona Beach,FL,29.19756,-81.05088,operational
AUGUSTA MILL FPB,INTERNATIONAL PAPER CO,27,1960,LIQ,Augusta,GA,33.43298,-81.94524,operational
AUGUSTA MILL FPB,INTERNATIONAL PAPER CO,39,1965,LIQ,Augusta,GA,33.43298,-81.94524,operational
AUGUSTA MILL FPB,INTERNATIONAL PAPER CO,18.75,1965,LIQ,Augusta,GA,33.43298,-81.94524,operational
BJ LANDFILL,BIO-ENERGY PARTNERS,0.80,1993,LGAS,Norcross,GA,33.64530,-84.01364,operational
BJ LANDFILL,BIO-ENERGY PARTNERS,0.80,1993,LGAS,Norcross,GA,33.64530,-84.01364,operational
BJ LANDFILL,BIO-ENERGY PARTNERS,0.80,1993,LGAS,Norcross,GA,33.64530,-84.01364,operational
BRUNSWICK HERCULES,HERCULES INC,7.10,1980,WOOD,Brunswick,GA,31.15169,-81.46971,operational
BRUNSWICK HERCULES,HERCULES INC,2.10,1989,WOOD,Brunswick,GA,31.15169,-81.46971,operational
BRUNSWICK MILL,GEORGIA-PACIFIC CORP,5,1951,LIQ,Brunswick,GA,31.15169,-81.46971,operational
BRUNSWICK MILL,GEORGIA-PACIFIC CORP,49.50,1962,LIQ,Brunswick,GA,31.15169,-81.46971,operational
