cdl,nass,crop
,"PRACTICES, RECEIVED IRRIGATION WATER FROM THE U.S. BUREAU OF RECLAMATION",f
,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING",f
,"PRACTICES, USED CONSERVATION METHODS",f
,PROPAGATIVE MATERIAL,f
,"PROPAGATIVE MATERIAL, IN THE OPEN",f
,"PROPAGATIVE MATERIAL, UNDER PROTECTION",f
Prunes,PRUNES,t
Pumpkins,PUMPKINS,t
Pumpkins,"PUMPKINS, FRESH MARKET",t
Pumpkins,"PUMPKINS, PROCESSING",t
,QUAIL,f
,"RABBITS, INCL PELTS",f
Radishes,RADISHES,t
Radishes,"RADISHES, FRESH MARKET",t
Radishes,"RADISHES, PROCESSING",t
Rape Seed,RAPESEED,f
Rape Seed,,f
Rape Seed,"RAPESEED, IRRIGATED",f
Caneberries,RASPBERRIES,f
Caneberries,"RASPBERRIES, BLACK",f
Caneberries,"RASPBERRIES, RED",f
,"RENT, CASH, LAND & BUILDINGS",f
,"RENT, CASH OR SHARE, LAND & BUILDINGS",f
Other Crops,RHUBARB,f
Other Crops,"RHUBARB, FRESH MARKET",f
Other Crops,"RHUBARB, PROCESSING",f
Rice,RICE,t
Rice,"RICE, IRRIGATED",t
Rye,RYE,t
Rye,"RYE, IRRIGATED",t
Safflower,SAFFLOWER,t
Safflower,"SAFFLOWER, IRRIGATED",t
,SEEDS & PLANTS TOTALS,f
,"SELF PROPELLED, COMBINE",f
,"SELF PROPELLED, COMBINE, GE 5 YEARS OLD",f
,"SELF PROPELLED, COMBINE, LT 5 YEARS OLD",f
,"SELF PROPELLED, COTTON PICKERS & STRIPPERS",f
,"SELF PROPELLED, COTTON PICKERS & STRIPPERS, GE 5 YEARS OLD",f
,"SELF PROPELLED, COTTON PICKERS & STRIPPERS, LT 5 YEARS OLD",f
,"SELF PROPELLED, FORAGE HARVESTER",f
,"SELF PROPELLED, FORAGE HARVESTER, GE 5 YEARS OLD",f
,"SELF PROPELLED, FORAGE HARVESTER, LT 5 YEARS OLD",f
,"SHEEP, EWES, BREEDING, GE 1 YEAR",f
,"SHEEP & GOATS TOTALS, INCL PRODUCTS",f
,"SHEEP, INCL LAMBS",f
Other Tree Crops,SHORT TERM WOODY CROPS,t
,SOD,f
Sod/Grass Seed,,f
Sorghum,SORGHUM,t
Sorghum,"SORGHUM, GRAIN",t
Sorghum,"SORGHUM, GRAIN, IRRIGATED",t
Sorghum,"SORGHUM, SILAGE",t
Sorghum,"SORGHUM, SILAGE, IRRIGATED",t
Soybeans,SOYBEANS,t
Soybeans,"SOYBEANS, IRRIGATED",t
,"SPECIALTY ANIMALS, OTHER, ANIMALS ONLY",f
,"SPECIALTY ANIMAL TOTALS, (EXCL EQUINE)",f
Speltz,,f
Other Crops,SPINACH,f
Other Crops,"SPINACH, FRESH MARKET",f
Other Crops,"SPINACH, PROCESSING",f
,SPORT FISH TOTALS,f
,"SPORT FISH TOTALS, REPORTED BY LBS SOLD",f
,"SPORT FISH TOTALS, REPORTED BY NUMBER SOLD",f
Spring Wheat,,f
Squash,SQUASH,t
Squash,"SQUASH, FRESH MARKET",t
Squash,"SQUASH, PROCESSING",t
Squash,"SQUASH, SUMMER",t
Squash,"SQUASH, SUMMER, FRESH MARKET",t
Squash,"SQUASH, SUMMER, PROCESSING",t
Squash,"SQUASH, WINTER",t
Squash,"SQUASH, WINTER, FRESH MARKET",t
Squash,"SQUASH, WINTER, PROCESSING",t
Strawberries,STRAWBERRIES,t
Sugarbeets,SUGARBEETS,t
Sugarbeets,"SUGARBEETS, IRRIGATED",t
Sugarbeets,"SUGARBEETS, IRRIGATED, SEED",t
Sugarbeets,"SUGARBEETS, SEED",t
Sugarcane,,f
Sunflower,SUNFLOWER,t
Sunflower,"SUNFLOWER, IRRIGATED",t
Sunflower,"SUNFLOWER, NON-OIL TYPE",t
Sunflower,"SUNFLOWER, NON-OIL TYPE, IRRIGATED",t
Sunflower,"SUNFLOWER, OIL TYPE",t
Sunflower,"SUNFLOWER, OIL TYPE, IRRIGATED",t
,SUPPLIES & REPAIRS,f
Sweet Corn,SWEET CORN,t
Sweet Corn,"SWEET CORN, FRESH MARKET",t
Sweet Corn,"SWEET CORN, IRRIGATED, SEED",t
Sweet Corn,"SWEET CORN, PROCESSING",t
Sweet Corn,"SWEET CORN, SEED",t
Sweet Potatoes,SWEET POTATOES,t
Sweet Potatoes,"SWEET POTATOES, FRESH MARKET",t
Sweet Potatoes,"SWEET POTATOES, IRRIGATED",t
Rice,SWEET RICE,f
Rice,"SWEET RICE, IRRIGATED",f
Switchgrass,,f
Citrus,TANGELOS,f
Citrus,TANGERINES,f
,"TAXES, PROPERTY, REAL ESTATE & OTHER, (EXCL PAID BY LANDLORD)",f
Tobacco,,f
Tomatoes,"TOMATOES, IN THE OPEN",t
Tomatoes,"TOMATOES, IN THE OPEN, FRESH MARKET",t
Tomatoes,"TOMATOES, IN THE OPEN, PROCESSING",t
Tomatoes,"TOMATOES, UNDER PROTECTION",t
,TRACTORS,f
,"TRACTORS, 40-99 PTO HP",f
,"TRACTORS, 40-99 PTO HP, GE 5 YEARS OLD",f
,"TRACTORS, 40-99 PTO HP, LT 5 YEARS OLD",f
,"TRACTORS, GE 100 PTO HP",f
,"TRACTORS, GE 100 PTO HP, GE 5 YEARS OLD",f
,"TRACTORS, GE 100 PTO HP, LT 5 YEARS OLD",f
,"TRACTORS, GE 5 YEARS OLD",f
,"TRACTORS, LT 40 PTO HP",f
,"TRACTORS, LT 40 PTO HP, GE 5 YEARS OLD",f
,"TRACTORS, LT 40 PTO HP, LT 5 YEARS OLD",f
,"TRACTORS, LT 5 YEARS OLD",f
,"TRANSPLANTS, COMMERCIAL, VEGETABLE & STRAWBERRY",f
,"TRANSPLANTS, COMMERCIAL, VEGETABLE & STRAWBERRY, IN THE OPEN",f
,"TRANSPLANTS, COMMERCIAL, VEGETABLE & STRAWBERRY, UNDER PROTECTION",f
Other Tree Crops,"TREE NUTS, OTHER",f
Other Tree Crops,TREE NUT TOTALS,f
Triticale,TRITICALE,t
Triticale,"TRITICALE, IRRIGATED",t
,TROUT,f
,"TROUT, REPORTED BY LBS SOLD",f
,"TROUT, REPORTED BY NUMBER SOLD",f
,"TRUCKS, INCL PICKUPS",f
,"TRUCKS, INCL PICKUPS, GE 5 YEARS OLD",f
,"TRUCKS, INCL PICKUPS, LT 5 YEARS OLD",f
,TURKEYS,f
,"TURKEYS, PRODUCTION CONTRACT",f
Turnips,TURNIPS,t
Turnips,"TURNIPS, FRESH MARKET",t
Turnips,"TURNIPS, PROCESSING",t
,VEGETABLE SEEDS,f
,"VEGETABLE SEEDS, IN THE OPEN",f
,"VEGETABLE SEEDS, UNDER PROTECTION",f
,"VEGETABLES, MIXED",f
,"VEGETABLES, MIXED, PROCESSING",f
,"VEGETABLES, OTHER",f
,"VEGETABLES, OTHER, FRESH MARKET",f
,"VEGETABLES, OTHER, PROCESSING",f
,"VEGETABLE TOTALS, INCL FRESH CUT HERBS, (EXCL TOMATOES), UNDER PROTECTION",f
,"VEGETABLE TOTALS, INCL FRESH CUT HERBS, UNDER PROTECTION",f
,"VEGETABLE TOTALS, INCL SEEDS & TRANSPLANTS, IN THE OPEN",f
,"VEGETABLE TOTALS, IN THE OPEN",f
,"VEGETABLE TOTALS, IN THE OPEN, FRESH MARKET",f
,"VEGETABLE TOTALS, IN THE OPEN, IRRIGATED",f
,"VEGETABLE TOTALS, IN THE OPEN, PROCESSING",f
,"VEGETABLE TOTALS, PRODUCTION CONTRACT",f
Vetch,,f
Walnuts,"WALNUTS, ENGLISH",t
,WATERCRESS,f
,"WATERCRESS, FRESH MARKET",f
Watermelons,,f
,WHEAT,f
,"WHEAT, IRRIGATED",f
Spring Wheat,"WHEAT, SPRING, DURUM",f
Spring Wheat,"WHEAT, SPRING, DURUM, IRRIGATED",f
Spring Wheat,"WHEAT, SPRING, (EXCL DURUM)",f
Spring Wheat,"WHEAT, SPRING, (EXCL DURUM), IRRIGATED",f
Winter Wheat,"WHEAT, WINTER",f
Winter Wheat,"WHEAT, WINTER, IRRIGATED",f
,WILD RICE,f
,"WILD RICE, IRRIGATED",f
Winter Wheat,,f
,WOOL,f
