chem_code,chemalpha_cd,chemname
5829,16143,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES"
4023,16144,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN HD-1"
3986,16145,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN HD-1,DELTA-ENDOTOXIN AS PRODUCED IN CORN BY A CRY IA(B) GENE AND ITS CONTROLLING SEQUENCES BY MONSANTO"
3988,16146,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI, GENETICALLY ENGINEERED STRAIN EG7841 LEPIDOPTERAN ACTIVE TOXIN"
5010,16148,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI STRAIN HD-1, LEPIDOPTERAN ACTIVE TOXIN"
3862,16150,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN SA-11"
3970,16157,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI STRAIN SA-12 "
3863,16160,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. MORRISONI, SEROTYPE 8A8B"
3864,16170,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. SAN DIEGO"
5043,16172,"BACILLUS THURINGIENSIS SUBSP. TENEBRIONIS"
3972,16173,"BACILLUS THURINGIENSIS SUBSPEC. TENEBRIONIS DELTA ENDOTOXIN"
3522,16175,"BACTERIAL PROTEASE"
5940,16176,"BACTERIOPHAGE ACTIVE AGAINST XANTHOMONAS CAMPESTRIS PV. VESICATORIA AND PSEUDOMONAS SYRINGAE PV. TOMATO"
5157,16180,"BACULOVIRUS, GENETICALLY ENGINEERED, STRAIN ACMNPV-LQHIT2"
3958,16185,"BACULOVIRUS, GENETICALLY ENGINERED, STRAIN (VEGTDEL)"
5021,16187,"BACULOVIRUS, GENETICALLY ENGINEERED, STRAIN VEGTDEL-AAIT"
5404,16190,"BACULOVIRUS, GENETICALLY ENGINEERED, STRAIN VEGTDEL-TOX34"
5969,16195,"BALSAM FIR OIL"
1146,16200,"BALSAM PERU"
54,16300,"BANDANE"
55,16400,"BARBAN"
3060,16500,"BARIUM CARBONATE"
3061,16600,"BARIUM CHLORIDE"
973,16800,"BARIUM METABORATE"
2411,16825,"BARIUM SULFATE"
5138,16830,"BARLEY STRAW"
2412,16850,"BAROCHEM B460"
2413,16875,"BAROCHEM B464"
3584,16880,"BASIC VIOLET 1"
3948,17105,"BEAUVERIA BASSIANA"
5976,17106,"BEAUVERIA BASSIANA HF 23"
3993,17107,"BEAUVERIA BASSIANA STRAIN GHA"
3586,17115,"BEESWAX (YELLOW AND WHITE)"
3587,17120,"BEET POWDER"
1924,17125,"BENDIOCARB"
53,17150,"BENEFIN"
1552,17200,"BENOMYL"
2263,17215,"BENSULFURON METHYL"
70,17230,"BENSULIDE"
2999,17240,"BENTAZON"
1944,17250,"BENTAZON, SODIUM SALT"
1399,17300,"BENTONITE"
65,17500,"BENZALDEHYDE"
67,17600,"BENZENE"
3561,17650,"BENZENE, 1,1'-OXYBIS-TETRAPROPYLENE DERIVATIVES, SULFONATED, SODIUM"
2415,17700,"BENZENE SULFONYL CHLORIDE"
2416,17750,"BENZIN"
1893,17775,"1,2-BENZISOTHIAZOLIN-3-ONE"
962,17800,"BENZOCAINE"
1329,17900,"BENZOIC ACID"
3063,17912,"BENZOPHENONE-2"
2417,17925,"BENZOPHENONE-3"
2418,17950,"1H-BENZO TRIAZOLE"
1705,18000,"BENZOYL CHLORIDE HYDRAZONE"
2000,18050,"N6-BENZYL ADENINE"
915,18100,"BENZYL ALCOHOL"
5069,18150,"BENZYL-C12-14-ALKYLDIMETHYL QUATERNARY AMMONIUM COMPOUNDS"
68,18200,"BENZYL BENZOATE"
1653,18300,"BENZYL BROMOACETATE"
2419,18350,"BENZYL CHLORIDE"
522,18400,"ORTHO-BENZYL-PARA-CHLOROPHENOL"
936,18500,"ORTHO-BENZYL-PARA-CHLOROPHENOL, POTASSIUM SALT"
937,18600,"ORTHO-BENZYL-PARA-CHLOROPHENOL, SODIUM SALT"
3981,18650,"BENZYLDIETHYL [(2,6-XYLYLCARBAMOYL)METHYL] AMMONIUM SACCHARIDE"
1186,18700,"BENZYL DIMETHYL OCTADECYL AMMONIUM CHLORIDE"
3066,18750,"1-BENZYL-2-STEARYL-BENZENIDAZOL-6,3'-DISULFONIC ACID, SODIUM SALT"
5228,18925,"BETA-PINENE-MALEAMIDE COPOLYMER"
2420,19000,"BHA"
767,19300,"BHC"
90359,19400,"BHC (OTHER THAN GAMMA ISOMER)"
3516,19450,"BICYCLIC AND METHENE RESINS"
5657,19475,"BIFENAZATE"
1953,19550,"BIFENOX"
2300,19560,"BIFENTHRIN"
73,19600,"BINAPACRYL"
4039,19650,"S-BIOALLETHRIN"
227,19675,"BIPHENYL"
2219,19830,"1,4-BIS (BROMOACETOXY)-2-BUTENE"
397,19835,"BIS BUTENYLENE TETRAHYDRO FURFURAL"
3280,19837,"2,2'-BIS(6-T-BUTYL-P-CRESYL)-METHANE"
203,19840,"BIS-(CHLOROETHYL) ETHER"
201,19845,"BIS-(2,2-DICHLOROETHYL) ETHER"
1165,19850,"2,6-BIS ((DIMETHYL AMINO) METHYL) CYCLOHEXANONE"
2422,19890,"N,N'-BIS (3', 5'-DI-TERT-BUTYL-4-HYDROXYPHENYL)PROPIONYL) HYDRAZINE"
2243,19900,"BIS (2-HYDROXYETHYL) ALKYL (AS IN FATTY ACIDS OF COCONUT OIL) AMINE ACETATE"
2423,19925,"N,N-BIS-(2-HYDROXYETHYL) ALKYL AMINE"
2424,19950,"N,N-BIS (2-HYDROXYETHYL) ALKYL (C6-C18) AMINE"
3067,19962,"N,N-BIS-(2-HYDROXY ETHYL)-CIS-9-OCTADECENAMIDE"
3068,19975,"N,N-BIS (2-HYDROXY ETHYL) OCTANAMIDE"
2298,19980,"1,3-BIS(HYDROXYMETHYL)-5,5-DIMETHYL HYDANTOIN"
3069,19987,"2,6-BIS (1-METHYL HEPTADECYL)-P-CRESOL"
1986,20000,"N,N-BIS-(2-(OMEGA-HYDROXYPOLY(OXYETHYLENE) ETHYL) ALKYLAMINE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
2807,20010,"N,N-BIS-(2-OMEGA-HYDROXYPOLY(OXYETHYLENE)ETHYL)ALKYLAMINE, ALKYL DERIVED FROM TALLOW FATTY ACIDS"
5897,20012,"N,N-BIS-(2-OMEGA-HYDROXYPOLY(OXYETHYLENE)ETHYL)ALKYL (C14-C18) AMINE"
3976,20025,"N,N-BIS-(2-(OMEGA-HYDROXYPOLY(OXYETHYLENE)/POLY(OXYPROPYLENE))ETHYL)ALKYL (C8-C18) AMINE"
3070,20050,"BISPHENOL A"
1450,20100,"TRANS-1,2-BIS (N-PROPYLSULFONYL) ETHENE"
5749,20120,"BISPYRIBAC-SODIUM"
1990,20150,"BIS(TRIBUTYLTIN) ADIPATE"
5074,20175,"BIS(TRIBUTYLTIN) SALICYLATE"
74,20200,"BIS(TRIBUTYLTIN) SUCCINATE"
1665,20250,"BIS(TRIBUTYLTIN) SULFONE"
1886,20300,"BIS(TRIBUTYLTIN)SULFIDE"
1865,20350,"BIS(TRICHLOROMETHYL) SULFONE"
2425,20600,"BLAST FURNACE SLAG"
77,20800,"BOMYL"
3589,20880,"BONE MEAL"
78,20900,"BONE OIL"
79,21000,"BORAX"
769,21200,"BORIC ACID"
2090,21300,"BORIC OXIDE"
2426,21500,"BORON"
5951,21510,"BORON OXIDE"
5790,21550,"BOSCALID"
3590,21600,"BRAN"
3591,21650,"BREAD CRUMBS"
2049,21700,"BRODIFACOUM"
83,21800,"BROMACIL"
840,21900,"BROMACIL, DIMETHYLAMINE SALT"
1573,21950,"BROMACIL, LITHIUM SALT"
842,22000,"BROMACIL, SODIUM SALT"
2135,22020,"BROMADIOLONE"
2288,22025,"BROMETHALIN"
4055,22027,"BROMIDE"
2296,22030,"BROMINE"
2323,22040,"BROMINE CHLORIDE"
2080,22050,"1-BROMO-3-CHLORO-5,5-DIMETHYL HYDANTOIN"
2427,22400,"BROMOETHANE"
969,22500,"2-BROMO-4-HYDROXYACETOPHENONE"
1892,22550,"BETA-BROMO-BETA-NITROSTYRENE"
2428,22575,"BROMOPROPYLATE"
2163,22600,"BROMOXYNIL BUTYRATE"
5036,22650,"BROMOXYNIL HEPTANOATE"
834,22700,"BROMOXYNIL OCTANOATE"
2429,22750,"BROMOXYNIL PHENOL"
2295,22800,"BRONOPOL"
91,22850,"BUFENCARB"
3928,22875,"BUFFALO GOURD ROOT POWDER"
2430,22900,"BUPIRIMATE"
3947,22925,"BUPROFEZIN"
4056,22935,"BUTACHLOR"
2431,22950,"1,3-BUTADIENE"
2432,22970,"BUTADIENE-ACRYLONITRILE COPOLYMER"
1562,23100,"BUTANE"
3071,23125,"2-BUTANONE OXIME"
2433,23150,"BUTATHIOFOS"
3072,23175,"BUTENEDIOL"
1943,23200,"1,1-(2-BUTENYLENE) BIS (3,5,7-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE)"
255,23250,"BUTONATE"
90,23255,"BUTOPYRONOXYL"
2201,23260,"BUTOXYCARBOXIM"
89,23300,"2-BUTOXYETHANOL"
3073,23325,"2-BUTOXYETHANOL PHOSPHATE"
355,23350,"2-(2-BUTOXY ETHOXY) ETHYL THIOCYANATE"
3074,23375,"1-BUTOXY ETHOXY-2-PROPANOL"
3592,23380,"BUTOXYPOLY(ETHYLENEOXY) ETHANOL"
1633,23400,"BUTOXY POLYPROPOXY POLYETHOXY ETHANOL - IODINE COMPLEX"
170,23500,"BUTOXY POLYPROPYLENE GLYCOL"
2625,23505,"1-BUTOXY-2-PROPANOL"
5912,23510,"3-BUTOXY-1-PROPANOL"
1756,23630,"BUTRALIN"
2434,23650,"N-BUTYL ACETATE"
5379,23675,"BUTYLACETYLAMINOPROPIONIC ACID"
1482,23700,"BUTYL ALCOHOL"
3078,23750,"SEC-BUTYL ALCOHOL"
1704,23800,"SEC-BUTYLAMINE"
3593,23810,"BUTYLATED STYRENATED CRESOLS"
3079,23850,"BUTYLAMINE DODECYL BENZENE SULFONATE"
1407,23900,"N-BUTYLAMINO-PARA-BENZOATE"
1713,24000,"SEC-BUTYL AMMONIUM PHOSPHATE"
565,24100,"BUTYLATE"
1309,24150,"BUTYLATED HYDROXYTOLUENE"
5874,24152,"N-BUTYL-1,2-BENZISOTHIAZOLIN-3-ONE"
3080,24155,"BUTYL BENZYL PHTHALATE"
1383,24200,"TERT-BUTYL DIMETHYL TRITHIO PEROXYCARBAMATE"
91383,24300,"TERT-BUTYLDIMETHYLTRITHIOPEROXYCARBAMATE, OTHER RELATED"
1034,24400,"1,3-BUTYLENE GLYCOL"
3594,24440,"ALPHA-BUTYL-OMEGA-HYDROXYPOLY(OXYETHYLENE) PHOSPHATE"
2083,24475,"ALPHA-BUTYL-ALPHA-1H-IMIDAZOLE-PROPANENITRILE"
5087,24500,"BUTYL MERCAPTAN"
1000,24600,"PARA-TERT-BUTYLPHENOL"
2059,24625,"TERT-BUTYLPHENOL, OXYETHYLATED ADDUCT"
1721,24800,"1-(PARA-TERT-BUTYL PHENOXY)-1-(2-BUTYNYL) SULFITE"
1381,24945,"ALPHA-(PARA-SEC-BUTYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE)"
1786,24950,"ALPHA-(PARA-TERT-BUTYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE)"
1605,24955,"ALPHA-(PARA-TERT-BUTYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE) PHOSPHATE"
3076,24980,"BUTYL STEARATE"
3083,24983,"BUTYRIC ACID"
2007,24985,"BUTYRIC ANHYDRIDE"
3084,24987,"BETA-BUTYROLACTONE"
2436,24990,"GAMMA-BUTYROLACTONE"
32,25100,"CACODYLIC ACID"
93,25400,"CADMIUM CARBONATE"
94,25500,"CADMIUM CHLORIDE"
3085,25525,"CADMIUM COCOATE"
2438,25550,"CADMIUM COMPOUNDS"
3086,25575,"CADMIUM PERBORATE"
699,25600,"CADMIUM SEBACATE"
92,25700,"CADMIUM SUCCINATE"
2439,25800,"CADMIUM YELLOW PIGMENTS"
3595,25810,"CALCAREOUS SHALE"
3087,25825,"CALCIUM ABIETATE"
5989,25830,"CALCIUM ACETATE"
101,25875,"CALCIUM ACID METHANEARSONATE"
96,25900,"CALCIUM ARSENATE"
1571,26100,"CALCIUM CARBIDE"
1007,26200,"CALCIUM CARBONATE"
2440,26250,"CALCIUM CARBONATE, TREATED"
920,26300,"CALCIUM CHLORIDE"
3090,26325,"CALCIUM CITRATE"
98,26400,"CALCIUM CYANAMIDE"
176,26450,"CALCIUM CYANIDE"
99,26500,"CALCIUM HYDROXIDE"
326,26600,"CALCIUM HYPOCHLORITE"
3091,26650,"CALCIUM NEODECANOATE"
5809,26675,"CALCIUM NITRATE"
3092,26700,"CALCIUM OCTOATE"
3094,26775,"CALCIUM PETROLEM SULFONATE"
1607,26800,"CALCIUM PHOSPHATE, TRIBASIC"
2441,26850,"CALCIUM PROPIONATE"
1252,26900,"CALCIUM SALTS OF CASEIN AND SOY"
3596,26910,"CALCIUM SALTS OF FATTY ACIDS"
1908,26950,"CALCIUM SILICATE"
3096,26975,"CALCIUM STEARATE"
2442,26980,"CALCIUM SULFATE"
930,27000,"CALCIUM THIOSULFATE"
3871,27080,"CALCIUM-ZINC LN 193 (COMPLEX)"
5741,27090,"CALF'S MILK REPLACER"
100,27100,"CALOMEL"
5227,27150,"CAMPHENE"
102,27200,"CAMPHOR"
3597,27210,"CANARY SEED"
3961,27225,"CANDIDA OLEOPHILA ISOLATE I-182"
2443,27250,"CANDLE WAX"
3598,27260,"CANE SYRUP"
5332,27265,"CANOLA OIL"
2315,27275,"CAPRIC ACID"
2316,27300,"CAPRYLIC ACID"
470,27400,"CAPSICUM OLEORESIN"
292,27450,"CAPTAFOL"
104,27500,"CAPTAN"
90104,27525,"CAPTAN, OTHER RELATED"
2444,27550,"CARAMEL COLOR"
105,27600,"CARBARYL"
2176,27650,"CARBENDAZIM"
1974,27675,"CARBENDAZIM PHOSPHATE"
106,27700,"CARBOFURAN"
4058,27725,"CARBOFURAN PHENOL"
2446,27730,"CARBO METHOXY ETHER CELLULOSE, SODIUM SALT"
4027,27750,"COMPLEX CARBOHYDRATE POLYMER DERIVATIVE"
712,27900,"CARBON"
2445,27930,"CARBON BLACK PIGMENT"
2207,27950,"CARBON DIOXIDE"
108,28000,"CARBON DISULFIDE"
109,28100,"CARBON TETRACHLORIDE"
3099,28150,"CARBON TETRAFLUORIDE"
110,28200,"CARBOPHENOTHION"
2182,28250,"CARBOSULFAN"
1755,28300,"CARBOXIN"
2447,28350,"CARBOXY POLYMETHYLENE"
3599,28360,"CARDBOARD"
5130,28375,"CARFENTRAZONE-ETHYL"
1657,28400,"CARNUBA WAX"
3600,28410,"CARRAGEENAN"
3601,28420,"CARROTS"
1161,28440,"CARVACROL"
2188,28450,"BETA-CARYOPHYLLENE"
1075,28500,"CASEIN"
1013,28600,"CASTOR OIL"
5974,28640,"CASTOR OIL ETHOXYLATE"
2448,28700,"CASTOR WAX DERIVATIVE"
3602,28800,"CAT FOOD"
3100,29200,"CELLULOSE"
3101,29250,"CELLULOSE ETHYL HYDROXY ETHYL ETHER"
3603,29300,"CERESIN"
2449,29450,"CETYL ALCOHOL"
122,29455,"CETYLDIMETHYLETHYLAMMONIUM BROMIDE"
1792,29650,"N-CETYL-N-ETHYL MORPHOLINIUM ETHYL SULFATE"
2450,29700,"CETYL PALMITATE"
1486,29725,"CETYL PYRIDIUM BROMIDE"
116,29750,"CETYLTRIMETHYLAMMONIUM BROMIDE"
2453,29825,"CHARTERSOL-1"
3604,29830,"CHEESE"
2454,29850,"CHEM-O-THANE D-3860/D-3861"
5973,29855,"CHENOPODIUM AMBROSIODES NEAR AMBROSIODES"
2455,29875,"CHEVRON BASE OIL 'C'"
2456,29900,"CHEVRON 100 NEUTRAL OIL"
2457,30000,"CHEVRON SOLVENT 425"
3605,30010,"CHICAGO SLUDGE"
4026,30025,"CHITINOLYTIC ENZYMES"
2792,30028,"CHITOSAN"
3102,30030,"CHLORACETIC ACID"
2184,30050,"CHLORAMBEN"
831,30100,"CHLORAMBEN, AMMONIUM SALT"
90831,30150,"CHLORAMBEN, AMMONIUM SALT, OTHER RELATED"
124,30200,"CHLORAMINE B"
125,30300,"CHLORAMINE T"
5964,30350,"CHLORANTRANILIPROLE"
127,30500,"CHLORBISAN"
1733,30600,"CHLORBROMURON"
130,30700,"CHLORDANE"
90130,30800,"CHLORDANE, OTHER RELATED"
347,30805,"CHLORDECONE"
300,30810,"CHLORDIMEFORM"
301,30820,"CHLORDIMEFORM HYDROCHLORIDE"
5106,30840,"CHLORETHOXYPHOS"
3938,30850,"CHLORFENAPYR"
306,30860,"CHLORFENVINPHOS"
760,30900,"CHLORFLURENOL, METHYL ESTER"
1144,30950,"CHLORHEXIDINE DIACETATE"
5933,30955,"CHLORHEXIDINE GLUCONATE"
3606,30960,"CHLORINATED RUBBER"
2214,30975,"CHLORINATED TRISODIUM PHOSPHATE (PRIOR TSP & SODIUM HYPOCHLORITE)"
131,31000,"CHLORINE"
2458,31200,"CHLORIMURON ETHYL"
2053,31400,"CHLORINE DIOXIDE"
1512,31550,"CHLORMEQUAT CHLORIDE"
2459,31575,"CHLOROACRYLATE"
4059,31585,"CHLOROALLYL ALCOHOL "
250,31600,"1-(3-CHLOROALLYL)-3,5,7-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE"
2460,31650,"CHLOROBENZENE"
132,31700,"CHLOROBENZILATE"
2461,31750,"P-CHLOROBENZOIC ACID"
1151,31800,"1-CHLOROBUTANE"
4061,31850,"4-CHLORO-ORTHO-CRESOL"
836,32000,"4-CHLORO-2-CYCLOPENTYLPHENOL"
1237,32100,"4-CHLORO-2-CYCLOPENTYL PHENOL, POTASSIUM SALT"
1395,32200,"4-CHLORO-CYCLOPENTYLPHENOL, SODIUM SALT"
2462,32300,"CHLORODIBROMOMETHANE"
1371,32500,"5-CHLORO-2-(2,4-DICHLOROPHENOXY) PHENOL"
3103,32550,"1-CHLORO-1,1-DIFLUORO ETHANE"
3104,32600,"CHLORO DIFLUORO METHANE"
133,32900,"CHLOROFORM"
2173,32950,"ALPHA-CHLOROHYDRIN"
1142,33000,"CHLORO HYDROXY ALLANTOINATE"
2079,33200,"2-CHLORO-N-(HYDROXYMETHYL)ACETAMIDE"
1597,33300,"5-CHLORO-2-MERCAPTOBENZOTHIAZOLE, LAURYL PYRIDINIUM SALT"
1813,33400,"PARA-CHLORO-META-CRESOL"
887,33500,"CHLOROMETHOXY PROPYL MERCURIC ACETAMIDE"
2038,33600,"5-CHLORO-2-METHYL-4-ISOTHIAZOLIN-3-ONE"
2463,33650,"3-CHLORO-2-METHYL PROPENE"
135,33700,"CHLORONEB"
351,33750,"1-CHLORO-2-NITROPROPANE"
1625,33900,"CHLOROPHACINONE"
1572,34200,"PARA-CHLOROPHENOL"
2464,34500,"2-(3-CHLOROPHENOXY)PROPIONAMIDE"
846,34600,"2-CHLORO-4-PHENYLPHENOL"
1061,34650,"2-CHLORO-4-PHENYLPHENOL, POTASSIUM SALT"
1632,34700,"2-CHLORO-4-PHENYLPHENOL, SODIUM SALT"
945,34900,"4-CHLORO-2-PHENYLPHENOL"
947,35000,"4-CHLORO-2-PHENYLPHENOL, POTASSIUM SALT"
946,35100,"4-CHLORO-2-PHENYLPHENOL, SODIUM SALT"
948,35200,"6-CHLORO-2-PHENYLPHENOL"
950,35300,"6-CHLORO-2-PHENYLPHENOL, POTASSIUM SALT"
949,35400,"6-CHLORO-2-PHENYLPHENOL, SODIUM SALT"
2465,35450,"CHLOROPHYLL OIL SOLUBLE-ZZ"
1566,35500,"4 & 6 - CHLORO-2-PHENYLPHENOL"
91566,35600,"4 & 6-CHLORO-2-PHENYLPHENOL, OTHER RELATED"
1604,35700,"4 & 6 - CHLORO-2-PHENYLPHENOL, POTASSIUM SALTS, MIXED"
1594,35800,"4 & 6 - CHLORO-2-PHENYLPHENOL, SODIUM SALTS, MIXED"
3105,35900,"CHLOROPHYLL"
136,36200,"CHLOROPICRIN"
137,36300,"CHLOROPROPYLATE"
2466,36310,"2-CHLOROPYRIDINE-N-OXIDE"
2055,36350,"2-CHLORO-SALICYLANILIDE"
47,36360,"CHLOROTETRACYCLINE"
677,36400,"CHLOROTHALONIL"
2467,36450,"CHLOROTOLUENE"
549,36500,"3-CHLORO-P-TOLUIDINE HYDROCHLORIDE"
576,36700,"CHLOROXURON"
925,36800,"4-CHLORO-3,5-XYLENOL"
141,36825,"CHLORPROPHAM"
253,36850,"CHLORPYRIFOS"
2468,36860,"CHLORPYRIFOS-METHYL"
5034,36865,"CHLORPYRIFOS OXON"
2143,36875,"CHLORSULFURON"
179,36950,"CHLORTHAL-DIMETHYL"
2469,36960,"CHLORTHIOPHOS"
2232,36975,"CHOLECALCIFEROL"
1188,37000,"CHROMIC ACID"
2470,37200,"CHROMIUM DIOXIDE"
6024,37250,"CHROMOBACTERIUM SUBTSUGAE STRAIN PRAA4-1"
3536,37350,"CINMETHYLIN"
2277,37400,"CINNAMALDEHYDE"
3607,37410,"CINNAMON"
5577,37425,"CINNAMON OIL"
3107,37525,"CIS-CITRAL"
142,37600,"CITRIC ACID"
1816,37650,"CITRIC ACID, AMMONIUM SALT"
1001,37700,"CITRININ, ANTIMYCIN"
3608,37710,"CITRUS MEAL"
3609,37711,"CITRUS PECTIN"
3610,37712,"CITRUS PULP"
3611,37730,"CLAM SHELLS"
3979,37740,"CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL"
3566,37750,"CLETHODIM"
2249,37800,"CLOFENTEZINE"
3537,37805,"CLOMAZONE"
5135,37820,"CLOPYRALID"
5050,37825,"CLOPYRALID, MONOETHANOLAMINE SALT"
2339,37835,"CLOPYRALID,TRIETHYLAMINE SALT"
5781,37840,"CLORANSULAM-METHYL"
5792,37845,"CLOTHIANIDIN"
5018,37848,"CLOVE OIL"
2333,37850,"CLOVES"
5042,37875,"COAL TAR DISTILLATE BOILING BETWEEN 270-300 DEGREES CELCIUS"
1719,37900,"COAL TAR HYDROCARBONS"
144,38000,"COAL TAR NEUTRAL OILS AND COAL TAR ACID COMBINATIONS"
1720,38200,"COAL TAR PHENOLS"
3108,38210,"COBALT NAPHTHENATE"
3109,38220,"COBALT OCTOATE"
3110,38222,"COBALTOUS SULFATE"
3837,38225,"2,2'-(COCOALKYLIMINO)-BIS-(ETHANOL) WITH BIS-(2-ETHYLHEXYL) PHOSPHATE (1:1)"
3836,38227,"2,2'-(COCOALKYLIMINO)-BIS-(ETHANOL) WITH MONO (2-ETHYLHEXYL) PHOSPHATE (1:1)"
3111,38240,"N-(2-COCO AMIDO ETHYL)-N-(2-HYDROXY ETHYL) GLYCINE, SODIUM SALT"
2473,38250,"COCAMIDOPROPYL BETAINE"
3613,38260,"COCOA"
3614,38265,"COCOA SHELLS"
2474,38300,"COCO AMPHO CARBOXY GLYCINATE"
2475,38400,"COCO BETAINE"
3615,38450,"COCODIAMINE"
1598,38500,"COCONUT DIETHANOLAMIDE"
1659,38600,"COCONUT IMIDAZOLINE SODIUM CARBOXYLATE"
1759,38650,"COCONUT OIL AMINE"
1164,38700,"COCONUT OIL AMINE ACETATE"
3616,38860,"COCONUT OIL FATTY ACIDS"
1361,38900,"COCONUT OIL MONOETHANOLAMINE"
1740,38925,"COCONUT OIL PROPYLENE DIAMINE"
2088,38950,"COCONUT OIL SOAP"
3617,38960,"COCO SHELL FLOUR"
2250,38975,"COD LIVER OIL"
2225,39100,"CODLING MOTH GRANULOSIS VIRUS"
3619,39105,"COFFEE GROUNDS"
1805,39250,"COLLAGEN"
5128,39255,"COLLETOTRICHUM GLOEOSPORIOIDES F.SP.AESCHYNOMENE ATCC20358"
2477,39260,"COLLOID 643"
3527,39270,"COLLOID 840"
2124,39275,"COMPOUNDED SILICONE"
3620,39310,"CONDENSATION PRODUCT OF MIXED CRESOLS, FORMALDEHYDE AND SULFANILIC"
5753,39320,"CONIOTHYRIUM MINITANS STRAIN CON/M/91-08"
2478,39350,"CONOCO LPA"
3621,39360,"COOKIES"
714,39400,"COPPER"
147,39600,"COPPER ACETATE"
1762,39650,"COPPER AMMONIUM CARBONATE"
3550,39700,"COPPER AMMONIUM COMPLEX"
1457,39800,"COPPER BRONZE POWDER"
60,40000,"COPPER CARBONATE, BASIC"
1406,40300,"COPPER CITRATE"
3547,40350,"COPPER CITRATE CHELATE"
3553,40375,"COPPER DIETHANOLAMINE COMPLEX"
753,40400,"COPPER DIHYDRAZINIUM SULFATE"
3551,40410,"COPPER ETHANOLAMINE COMPLEXES, MIXED"
3549,40425,"COPPER ETHYLENEDIAMINE COMPLEX"
2235,40450,"COPPER 2-ETHYLHEXANOATE"
3548,40475,"COPPER GLUCONATE CHELATE"
151,40500,"COPPER HYDROXIDE"
1826,40550,"COPPER HYDROXIDE - TRIETHANOLAMINE COMPLEX"
1110,40700,"COPPER LINOLEATE"
3552,40775,"COPPER MONOETHANOLAMINE COMPLEX"
153,40800,"COPPER NAPHTHENATE"
5225,40900,"COPPER OCTANOATE"
154,41000,"COPPER OLEATE"
2231,41050,"COPPER OXIDE (IC)"
175,41150,"COPPER OXIDE (OUS)"
156,41200,"COPPER OXYCHLORIDE"
158,41300,"COPPER OXYCHLORIDE SULFATE"
2479,41350,"COPPER PHTHALOCYANINE"
5975,41360,"COPPER 2-PYRIDINETHIOL-1-OXIDE"
6018,41375,"COPPER PYRITHIONE"
159,41400,"COPPER 8-QUINOLINOLEATE"
155,41500,"COPPER SALTS OF FATTY AND ROSIN ACIDS"
755,41600,"COPPER SODIUM SULFATE-PHOSPHATE COMPLEX"
1778,41650,"COPPER SULFATE (ANHYDROUS)"
162,41700,"COPPER SULFATE (BASIC)"
2480,41725,"COPPER SULFATE ETHYLENE DIAMINE"
1789,41750,"COPPER SULFATE, MONOHYDRATE"
161,41775,"COPPER SULFATE (PENTAHYDRATE)"
1615,41800,"COPPER TRIETHANOLAMINE COMPLEX"
163,42100,"COPPER-ZINC CHROMATE COMPLEX"
164,42200,"COPPER-ZINC SULFATE COMPLEX"
1751,42300,"COPPER-ZINC SULFATE COMPLEX, MONOHYDRATE"
3622,42400,"CORK"
5144,42410,"CORN"
3624,42420,"CORN COBS"
3625,42422,"CORN FLOUR"
2481,42425,"CORN GLUTEN MEAL"
6032,42427,"CORN MINT OIL"
3626,42430,"CORN OIL"
2322,42435,"CORN PRODUCT, HYDROLYZED"
3627,42437,"CORNSTARCH"
5960,42438,"CORN STEEP LIQUOR"
3628,42440,"CORN SYRUP"
3629,42442,"COTTON"
2482,42445,"COTTON FIBRE CORD"
2078,42450,"COTTONSEED FLOUR"
3630,42460,"COTTONSEED MEAL"
1015,42500,"COTTONSEED OIL"
298,42600,"COUMAFURYL"
299,42610,"COUMAFURYL, SODIUM SALT"
165,42630,"COUMAPHOS"
90165,42635,"COUMAPHOS, OTHER RELATED"
3631,42640,"COUMARONE-INDENE RESIN"
5925,42650,"COYOTE URINE"
2483,42675,"C-PA-1224 BLACK"
17,42700,"3-CPA"
643,42800,"4-CPA"
1550,42900,"4-CPA, DIETHANOLAMINE SALT"
2484,42900,"CREMAPHOR"
3632,42910,"CRACKED OATS"
3633,42920,"CRACKED WHEAT"
171,42930,"CREOSOTE"
3113,42960,"O-CRESOL"
3114,42970,"P-CRESOL"
1941,43150,"CRESYLIC ACID"
5095,43160,"CRESYLIC ACID, POTASSIUM SALT"
140,43170,"CROTOXYPHOS"
90140,43171,"CROTOXYPHOS, OTHER RELATED"
519,43190,"CRUFOMATE"
